"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.0392156862745098,0.931573802541544,0.277229892614508,0.935897435897436,0.444444444444444
"2",0.1,0.0196078431372549,0.898338220918866,0.251150558842867,0.902366863905325,0.444444444444444
"3",0.1,0.1,0.961876832844575,0.210278325662941,0.969428007889546,0.111111111111111
"4",0.1,0.01,0.878787878787879,0.19833442910366,0.879684418145957,0.777777777777778
"5",1,0.0392156862745098,0.971652003910068,0.324183651106728,0.980276134122288,0
"6",1,0.0196078431372549,0.949169110459433,0.353276353276353,0.954635108481262,0.333333333333333
"7",1,0.1,0.987292277614858,0.374205566513259,0.996055226824458,0
"8",1,0.01,0.915933528836755,0.298378259916721,0.920118343195266,0.444444444444444
"9",10,0.0392156862745098,0.987292277614858,0.423022134560596,0.996055226824458,0
"10",10,0.0196078431372549,0.977517106549365,0.313609467455621,0.985207100591716,0.111111111111111
"11",10,0.1,0.990224828934506,0.45649791803638,0.999013806706114,0
"12",10,0.01,0.955034213098729,0.404777558623712,0.962524654832347,0.111111111111111
"13",100,0.0392156862745098,0.990224828934506,0.354700854700855,0.998027613412229,0.111111111111111
"14",100,0.0196078431372549,0.990224828934506,0.432117028270874,0.998027613412229,0.111111111111111
"15",100,0.1,0.990224828934506,0.452443567828183,0.999013806706114,0
"16",100,0.01,0.98435972629521,0.429213236905545,0.992110453648915,0.111111111111111
