"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.0294117647058824,0.93841642228739,0.250931404777559,0.943786982248521,0.333333333333333
"2",0.1,0.0147058823529412,0.901270772238514,0.232741617357002,0.905325443786982,0.444444444444444
"3",0.1,0.1,0.975562072336266,0.146614069690993,0.98422090729783,0
"4",0.1,0.01,0.895405669599218,0.211593250054789,0.897435897435897,0.666666666666667
"5",1,0.0294117647058824,0.975562072336266,0.293447293447293,0.98422090729783,0
"6",1,0.0147058823529412,0.95405669599218,0.340565417488494,0.961538461538462,0.111111111111111
"7",1,0.1,0.988269794721408,0.412886259040105,0.997041420118343,0
"8",1,0.01,0.940371456500489,0.319307473153627,0.944773175542406,0.444444444444444
"9",10,0.0294117647058824,0.989247311827957,0.413653298268683,0.998027613412229,0
"10",10,0.0147058823529412,0.979472140762463,0.322046898969976,0.988165680473373,0
"11",10,0.1,0.991202346041056,0.455182993644532,1,0
"12",10,0.01,0.972629521016618,0.368726714880561,0.981262327416174,0
"13",100,0.0294117647058824,0.991202346041056,0.355906202060048,1,0
"14",100,0.0147058823529412,0.987292277614858,0.370260793337716,0.996055226824458,0
"15",100,0.1,0.991202346041056,0.455292570677186,1,0
"16",100,0.01,0.98533724340176,0.380561034407188,0.994082840236686,0
