"","cost","gamma","Accuracy","AUC","Sensitivity","Specificity"
"1",0.1,0.0392156862745098,0.931573802541544,0.722770107385492,0.444444444444444,0.935897435897436
"2",0.1,0.0196078431372549,0.898338220918866,0.748849441157133,0.444444444444444,0.902366863905325
"3",0.1,0.1,0.961876832844575,0.789721674337059,0.111111111111111,0.969428007889546
"4",0.1,0.01,0.878787878787879,0.80166557089634,0.777777777777778,0.879684418145957
"5",1,0.0392156862745098,0.972629521016618,0.676966907736138,0,0.981262327416174
"6",1,0.0196078431372549,0.949169110459433,0.646723646723647,0.333333333333333,0.954635108481262
"7",1,0.1,0.987292277614858,0.375849222003068,0,0.996055226824458
"8",1,0.01,0.915933528836755,0.701621740083278,0.444444444444444,0.920118343195266
"9",10,0.0392156862745098,0.987292277614858,0.423405654174885,0,0.996055226824458
"10",10,0.0196078431372549,0.977517106549365,0.687212360289283,0.111111111111111,0.985207100591716
"11",10,0.1,0.990224828934506,0.4543063773833,0,0.999013806706114
"12",10,0.01,0.955034213098729,0.595222441376287,0.111111111111111,0.962524654832347
"13",100,0.0392156862745098,0.990224828934506,0.356344510190664,0.111111111111111,0.998027613412229
"14",100,0.0196078431372549,0.990224828934506,0.426364234056542,0.111111111111111,0.998027613412229
"15",100,0.1,0.990224828934506,0.453758492220031,0,0.999013806706114
"16",100,0.01,0.98435972629521,0.429870699101468,0.111111111111111,0.992110453648915
